from pubchempy import get_compounds

# ok = set()
# nok = set()
# need = {'C', 'H', 'N', 'O', 'F', 'P', 'Cl', 'S', 'Br'}
# data = []
# res = []

# def judge(name):
#     if name in ok:
#         return True
#     if name in nok:
#         return False
#     print("need " + name)
#     compounds = get_compounds(name, 'name')
#     compound = compounds[0] if compounds else None
#     if compound:
#         tmp = set(compound.elements)
#         if not tmp.difference(need):
#             ok.add(name)
#             return True
#         else:
#             nok.add(name)
#             return False
#     else:
#         print("Can't get element of " + name)
#         res.append(name)
#         return False

# f = open('other.txt', 'w')
# with open('res.txt', 'r') as reader:
#     first_line = True
#     for line in reader:
#         if first_line:
#             first_line = False
#             continue
#         lines = line.split(';')
#         solute = lines[0]
#         solvent = lines[1]
#         if judge(solute) and judge(solvent):
#             f.write(line)

# f.close()
# f = open('res.txt', 'a')
# f.write('\n' + time.strftime("%Y-%m-%d %H:%M:%S", time.localtime()) + '\n')
# print("{} can't find".format(len(res)))
# for line in res:
#     f.write(line + '\n')
# f.close()

a = set()
cnt = 0
with open('Solv@Tum_reformated.txt', 'r') as reader:
    first_column = True
    for line in reader:
        if first_column:
            first_column = False
            continue
        if line in a:
            cnt += 1
        else:
            a.add(line)

print(cnt)
;PYRIDINE;CCCCOC(=O)C;c1ccncc1;-5.79
HEXANE;N-METHYLPYRROLIDONE;CCCCCC;CN1CCCC1=O;-2.71
HEPTANE;N-METHYLPYRROLIDONE;CCCCCCC;CN1CCCC1=O;-3.19
OCTANE;N-METHYLPYRROLIDONE;CCCCCCCC;CN1CCCC1=O;-3.78
NONANE;N-METHYLPYRROLIDONE;CCCCCCCCC;CN1CCCC1=O;-4.28
DICHLOROMETHANE;N-METHYLPYRROLIDONE;C(Cl)Cl;CN1CCCC1=O;-4.23
CHLOROFORM;N-METHYLPYRROLIDONE;C(Cl)(Cl)Cl;CN1CCCC1=O;-5.24
CARBON TETRACHLORIDE;N-METHYLPYRROLIDONE;C(Cl)(Cl)(Cl)Cl;CN1CCCC1=O;-4.16
DIETHYL ETHER;N-METHYLPYRROLIDONE;CCOCC;CN1CCCC1=O;-2.77
TETRAHYDROFURAN;N-METHYLPYRROLIDONE;C1CCOC1;CN1CCCC1=O;-4.04
1,4-DIOXANE;N-METHYLPYRROLIDONE;C1COCCO1;CN1CCCC1=O;-4.99
ACETONE;N-METHYLPYRROLIDONE;CC(=O)C;CN1CCCC1=O;-3.97
BUTANONE;N-METHYLPYRROLIDONE;CCC(=O)C;CN1CCCC1=O;-4.43
PENTAN-2-ONE;N-METHYLPYRROLIDONE;CCCC(=O)C;CN1CCCC1=O;-4.73
METHYL ACETATE;N-METHYLPYRROLIDONE;CC(=O)OC;CN1CCCC1=O;-3.71
PROPYL ACETATE;N-METHYLPYRROLIDONE;CCCOC(=O)C;CN1CCCC1=O;-4.62
NITROMETHANE;N-METHYLPYRROLIDONE;C[N+](=O)[O-];CN1CCCC1=O;-5.5
METHANOL;N-METHYLPYRROLIDONE;CO;CN1CCCC1=O;-4.68
ETHANOL;N-METHYLPYRROLIDONE;CCO;CN1CCCC1=O;-4.98
1-PROPANOL;N-METHYLPYRROLIDONE;CCCO;CN1CCCC1=O;-5.72
TOLUENE;N-METHYLPYRROLIDONE;Cc1ccccc1;CN1CCCC1=O;-5.07
DECANE;N-METHYLPYRROLIDONE;CCCCCCCCCC;CN1CCCC1=O;-4.92
ISOPROPANOL;N-METHYLPYRROLIDONE;CC(C)O;CN1CCCC1=O;-5.09
2,2,4-TRIMETHYLPENTANE;N-METHYLPYRROLIDONE;CC(C)CC(C)(C)C;CN1CCCC1=O;-3.12
TERT-BUTANOL;N-METHYLPYRROLIDONE;CC(C)(C)O;CN1CCCC1=O;-5.12
METHYLCYCLOHEXANE;N-METHYLPYRROLIDONE;CC1CCCCC1;CN1CCCC1=O;-3.59
3-PENTANONE;N-METHYLPYRROLIDONE;CCC(=O)CC;CN1CCCC1=O;-4.76
ETHYL BUTANOATE;N-METHYLPYRROLIDONE;CCCC(=O)OCC;CN1CCCC1=O;-4.9
N-METHYLPYRROLIDONE;N-METHYLPYRROLIDONE;CN1CCCC1=O;CN1CCCC1=O;-7.67
OCTANE;BROMOBENZENE;CCCCCCCC;c1ccc(cc1)Br;-5.1
DIETHYL ETHER;BROMOBENZENE;CCOCC;c1ccc(cc1)Br;-3.83
TETRAHYDROFURAN;BROMOBENZENE;C1CCOC1;c1ccc(cc1)Br;-3.96
1,4-DIOXANE;BROMOBENZENE;C1COCCO1;c1ccc(cc1)Br;-5.23
BUTANONE;BROMOBENZENE;CCC(=O)C;c1ccc(cc1)Br;-4.39
METHYL ACETATE;BROMOBENZENE;CC(=O)OC;c1ccc(cc1)Br;-3.68
PROPYL ACETATE;BROMOBENZENE;CCCOC(=O)C;c1ccc(cc1)Br;-4.87
BUTYL ACETATE;BROMOBENZENE;CCCCOC(=O)C;c1ccc(cc1)Br;-5.68
TRIETHYLAMINE;BROMOBENZENE;CCN(CC)CC;c1ccc(cc1)Br;-4.47
NITROMETHANE;BROMOBENZENE;C[N+](=O)[O-];c1ccc(cc1)Br;-4.15
METHANOL;BROMOBENZENE;CO;c1ccc(cc1)Br;-2.31
ETHANOL;BROMOBENZENE;CCO;c1ccc(cc1)Br;-2.69
1-PROPANOL;BROMOBENZENE;CCCO;c1ccc(cc1)Br;-3.77
N-BUTANOL;BROMOBENZENE;CCCCO;c1ccc(cc1)Br;-4.08
PENTANOL;BROMOBENZENE;CCCCCO;c1ccc(cc1)Br;-5.16
HEXANOL;BROMOBENZENE;CCCCCCO;c1ccc(cc1)Br;-5.96
HEPTAN-1-OL;BROMOBENZENE;CCCCCCCO;c1ccc(cc1)Br;-6.66
TOLUENE;BROMOBENZENE;Cc1ccccc1;c1ccc(cc1)Br;-5.17
ETHYL ACETATE;BROMOBENZENE;CCOC(=O)C;c1ccc(cc1)Br;-4.42
ISOBUTANOL;BROMOBENZENE;CC(C)CO;c1ccc(cc1)Br;-4.23
3-METHYLBUTAN-1-OL;BROMOBENZENE;CC(C)CCO;c1ccc(cc1)Br;-5.27
PENTYL ACETATE;BROMOBENZENE;CCCCCOC(=O)C;c1ccc(cc1)Br;-6.41
BROMOBENZENE;BROMOBENZENE;c1ccc(cc1)Br;c1ccc(cc1)Br;-6.3
PHENYLAMINE;BROMOBENZENE;c1ccc(cc1)N;c1ccc(cc1)Br;-7.04
2-BUTOXYETHANOL;BROMOBENZENE;CCCCOCCO;c1ccc(cc1)Br;-6.07
DICHLOROMETHANE;1-METHOXYBUTANE;C(Cl)Cl;CCCCOC;-3.78
CARBON TETRACHLORIDE;1-METHOXYBUTANE;C(Cl)(Cl)(Cl)Cl;CCCCOC;-4.39
1-CHLOROBUTANE;1-METHOXYBUTANE;CCCCCl;CCCCOC;-4.37
1-METHOXYBUTANE;1-METHOXYBUTANE;CCCCOC;CCCCOC;-4.17
3-PENTANONE;3-PENTANONE;CCC(=O)CC;CCC(=O)CC;-5.01
PENTANE;DIMETHYL SULFOXIDE;CCCCC;CS(=O)C;-1.47
HEXANE;DIMETHYL SULFOXIDE;CCCCCC;CS(=O)C;-1.91
HEPTANE;DIMETHYL SULFOXIDE;CCCCCCC;CS(=O)C;-2.35
OCTANE;DIMETHYL SULFOXIDE;CCCCCCCC;CS(=O)C;-2.78
NONANE;DIMETHYL SULFOXIDE;CCCCCCCCC;CS(=O)C;-3.22
1,4-DIOXANE;DIMETHYL SULFOXIDE;C1COCCO1;CS(=O)C;-4.96
BUTANONE;DIMETHYL SULFOXIDE;CCC(=O)C;CS(=O)C;-4.29
ACETONITRILE;DIMETHYL SULFOXIDE;CC#N;CS(=O)C;-4.59
NITROMETHANE;DIMETHYL SULFOXIDE;C[N+](=O)[O-];CS(=O)C;-5.59
ETHANOL;DIMETHYL SULFOXIDE;CCO;CS(=O)C;-5.34
TOLUENE;DIMETHYL SULFOXIDE;Cc1ccccc1;CS(=O)C;-4.53
OCTANE;M-CRESOL;CCCCCCCC;Cc1cccc(c1)O;-4.14
BUTANONE;M-CRESOL;CCC(=O)C;Cc1cccc(c1)O;-6.03
NITROMETHANE;M-CRESOL;C[N+](=O)[O-];Cc1cccc(c1)O;-3.24
ETHANOL;M-CRESOL;CCO;Cc1cccc(c1)O;-5.47
TOLUENE;M-CRESOL;Cc1ccccc1;Cc1cccc(c1)O;-4.67
PENTANE;METHYL ACETATE;CCCCC;CC(=O)OC;-2.68
HEXANE;METHYL ACETATE;CCCCCC;CC(=O)OC;-3.3
HEPTANE;METHYL ACETATE;CCCCCCC;CC(=O)OC;-3.89
OCTANE;METHYL ACETATE;CCCCCCCC;CC(=O)OC;-4.49
NONANE;METHYL ACETATE;CCCCCCCCC;CC(=O)OC;-5.08
DICHLOROMETHANE;METHYL ACETATE;C(Cl)Cl;CC(=O)OC;-4.03
CHLOROFORM;METHYL ACETATE;C(Cl)(Cl)Cl;CC(=O)OC;-4.67
ACETONE;METHYL ACETATE;CC(=O)C;CC(=O)OC;-4.02
METHYL ACETATE;METHYL ACETATE;CC(=O)OC;CC(=O)OC;-4.14
ACETONITRILE;METHYL ACETATE;CC#N;CC(=O)OC;-4.53
NITROMETHANE;METHYL ACETATE;C[N+](=O)[O-];CC(=O)OC;-5.13
METHANOL;METHYL ACETATE;CO;CC(=O)OC;-3.77
ETHANOL;METHYL ACETATE;CCO;CC(=O)OC;-4.1
1-PROPANOL;METHYL ACETATE;CCCO;CC(=O)OC;-4.89
ISOPROPANOL;METHYL ACETATE;CC(C)O;CC(=O)OC;-4.46
NITROETHANE;METHYL ACETATE;CC[N+](=O)[O-];CC(=O)OC;-5.46
2-ETHOXYETHANOL;METHYL ACETATE;CCOCCO;CC(=O)OC;-5.89
METHOXYETHANOL;METHYL ACETATE;COCCO;CC(=O)OC;-5.46
PENTANE;CHLOROBENZENE;CCCCC;c1ccc(cc1)Cl;-3.32
HEXANE;CHLOROBENZENE;CCCCCC;c1ccc(cc1)Cl;-4.02
HEPTANE;CHLOROBENZENE;CCCCCCC;c1ccc(cc1)Cl;-4.73
OCTANE;CHLOROBENZENE;CCCCCCCC;c1ccc(cc1)Cl;-5.44
NONANE;CHLOROBENZENE;CCCCCCCCC;c1ccc(cc1)Cl;-6.17
DICHLOROMETHANE;CHLOROBENZENE;C(Cl)Cl;c1ccc(cc1)Cl;-3.53
DIETHYL ETHER;CHLOROBENZENE;CCOCC;c1ccc(cc1)Cl;-4.04
TETRAHYDROFURAN;CHLOROBENZENE;C1CCOC1;c1ccc(cc1)Cl;-4.05
1,4-DIOXANE;CHLOROBENZENE;C1COCCO1;c1ccc(cc1)Cl;-5.07
ACETONE;CHLOROBENZENE;CC(=O)C;c1ccc(cc1)Cl;-3.87
BUTANONE;CHLOROBENZENE;CCC(=O)C;c1ccc(cc1)Cl;-4.53
PENTAN-2-ONE;CHLOROBENZENE;CCCC(=O)C;c1ccc(cc1)Cl;-5.28
2-HEXANONE;CHLOROBENZENE;CCCCC(=O)C;c1ccc(cc1)Cl;-5.84
2-HEPTANONE;CHLOROBENZENE;CCCCCC(=O)C;c1ccc(cc1)Cl;-6.47
METHYL ACETATE;CHLOROBENZENE;CC(=O)OC;c1ccc(cc1)Cl;-3.82
PROPYL ACETATE;CHLOROBENZENE;CCCOC(=O)C;c1ccc(cc1)Cl;-5.09
BUTYL ACETATE;CHLOROBENZENE;CCCCOC(=O)C;c1ccc(cc1)Cl;-5.84
ACETONITRILE;CHLOROBENZENE;CC#N;c1ccc(cc1)Cl;-3.74
PROPIONITRILE;CHLOROBENZENE;CCC#N;c1ccc(cc1)Cl;-4.45
TRIETHYLAMINE;CHLOROBENZENE;CCN(CC)CC;c1ccc(cc1)Cl;-4.67
NITROMETHANE;CHLOROBENZENE;C[N+](=O)[O-];c1ccc(cc1)Cl;-4.17
METHANOL;CHLOROBENZENE;CO;c1ccc(cc1)Cl;-2.43
ETHANOL;CHLOROBENZENE;CCO;c1ccc(cc1)Cl;-2.69
1-PROPANOL;CHLOROBENZENE;CCCO;c1ccc(cc1)Cl;-3.85
N-BUTANOL;CHLOROBENZENE;CCCCO;c1ccc(cc1)Cl;-4.31
PENTANOL;CHLOROBENZENE;CCCCCO;c1ccc(cc1)Cl;-5.35
HEXANOL;CHLOROBENZENE;CCCCCCO;c1ccc(cc1)Cl;-6.03
HEPTAN-1-OL;CHLOROBENZENE;CCCCCCCO;c1ccc(cc1)Cl;-6.75
TOLUENE;CHLOROBENZENE;Cc1ccccc1;c1ccc(cc1)Cl;-5.21
ETHYLBENZENE;CHLOROBENZENE;CCc1ccccc1;c1ccc(cc1)Cl;-5.84
CHLOROBENZENE;CHLOROBENZENE;c1ccc(cc1)Cl;c1ccc(cc1)Cl;-5.7
BROMOETHANE;CHLOROBENZENE;CCBr;c1ccc(cc1)Cl;-3.51
ETHYL ACETATE;CHLOROBENZENE;CCOC(=O)C;c1ccc(cc1)Cl;-4.47
1-CHLOROBUTANE;CHLOROBENZENE;CCCCCl;c1ccc(cc1)Cl;-4.35
ISOBUTANOL;CHLOROBENZENE;CC(C)CO;c1ccc(cc1)Cl;-4.26
3-METHYLBUTAN-1-OL;CHLOROBENZENE;CC(C)CCO;c1ccc(cc1)Cl;-5.13
PENTYL ACETATE;CHLOROBENZENE;CCCCCOC(=O)C;c1ccc(cc1)Cl;-6.55
PHENYLAMINE;CHLOROBENZENE;c1ccc(cc1)N;c1ccc(cc1)Cl;-7.09
2-ETHOXYETHANOL;CHLOROBENZENE;CCOCCO;c1ccc(cc1)Cl;-4.92
2-BUTOXYETHANOL;CHLOROBENZENE;CCCCOCCO;c1ccc(cc1)Cl;-6.17
2-ISOPROPOXYETHANOL;CHLOROBENZENE;CC(C)OCCO;c1ccc(cc1)Cl;-5.42
PENTANE;PENTANE;CCCCC;CCCCC;-3.4
HEXANE;PENTANE;CCCCCC;CCCCC;-4.05
HEPTANE;PENTANE;CCCCCCC;CCCCC;-4.76
OCTANE;PENTANE;CCCCCCCC;CCCCC;-5.42
NONANE;PENTANE;CCCCCCCCC;CCCCC;-6.13
DICHLOROMETHANE;PENTANE;C(Cl)Cl;CCCCC;-2.91
1,4-DIOXANE;PENTANE;C1COCCO1;CCCCC;-4.04
BUTANONE;PENTANE;CCC(=O)C;CCCCC;-3.42
NITROMETHANE;PENTANE;C[N+](=O)[O-];CCCCC;-2.69
ETHANOL;PENTANE;CCO;CCCCC;-2.22
TOLUENE;PENTANE;Cc1ccccc1;CCCCC;-4.72
1-CHLOROBUTANE;PENTANE;CCCCCl;CCCCC;-4.08
DICHLOROMETHANE;PROPYL ETHER;C(Cl)Cl;CCCOCCC;-3.51
CARBON TETRACHLORIDE;PROPYL ETHER;C(Cl)(Cl)(Cl)Cl;CCCOCCC;-4.25
PROPYL ETHER;PROPYL ETHER;CCCOCCC;CCCOCCC;-4.54
METHANOL;PROPYL ETHER;CO;CCCOCCC;-2.94
ETHANOL;PROPYL ETHER;CCO;CCCOCCC;-3.45
1-PROPANOL;PROPYL ETHER;CCCO;CCCOCCC;-4.2
N-BUTANOL;PROPYL ETHER;CCCCO;CCCOCCC;-4.94
HEXANOL;PROPYL ETHER;CCCCCCO;CCCOCCC;-6.31
ISOPROPANOL;PROPYL ETHER;CC(C)O;CCCOCCC;-3.74
1-CHLOROBUTANE;PROPYL ETHER;CCCCCl;CCCOCCC;-4.23
ISOBUTANOL;PROPYL ETHER;CC(C)CO;CCCOCCC;-4.78
TERT-BUTANOL;PROPYL ETHER;CC(C)(C)O;CCCOCCC;-3.92
2-HEPTANONE;2-HEPTANONE;CCCCCC(=O)C;CCCCCC(=O)C;-6.17
